Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome
Anthribus nebulosus	2	2	monophyletic		0.15		17.60	match	match	match	match
Aphidecta obliterata	5	5	monophyletic		1.54	1.23	15.77	match	match	split	match
Aphodius borealis	7	4	monophyletic		1.70	1.39	14.09	split	match	match	match
Aphodius brevis	1	1	monophyletic		N/A		14.30	match	match	match	match
Aphodius conspurcatus	4	3	monophyletic		0.77		13.32	match	match	match	match
Aphodius contaminatus	3	2	monophyletic		0.30		13.76	match	match	match	match
Aphodius depressus	2	2	monophyletic		1.86	1.86	15.90	match	match	match	match
Aphodius distinctus	6	6	monophyletic		1.08		10.95	match	match	match	match
Aphodius fasciatus	4	3	monophyletic		0.61		14.43	match	match	match	match
Aphodius fossor	2	2	monophyletic		1.07		13.70	match	match	match	match
Aphodius lapponum	2	1	monophyletic		0.00		7.77	match	match	match	match
Aphodius niger	1	1	monophyletic		N/A		8.49	match	match	match	match
Aphodius paykulli	1	1	monophyletic		N/A		13.32	match	match	match	match
Aphodius piceus	2	1	monophyletic		0.00		7.77	match	match	match	match
Aphodius plagiatus	3	3	monophyletic		0.46		8.49	match	match	match	match
Aphodius prodromus	2	2	paraphyletic	Aphodius punctatosulcatus	9.75	9.75	4.25	mixture	split	split	split
Aphodius punctatosulcatus	2	2	monophyletic		0.15		4.25	mixture	match	match	match
Aphodius rufus	6	3	monophyletic		1.07		14.53	match	match	match	match
Aphodius subterraneus	1	1	monophyletic		N/A		12.04	match	match	match	match
Aphthona erichsoni	1	1	monophyletic		N/A		17.00	match	match	match	match
Aphthona lutescens	5	3	monophyletic		2.17	2.01	14.75	split	match	match	split
Apion apricans	4	3	monophyletic		1.07		9.64	match	match	match	match
Apion assimile	3	2	monophyletic		0.15		11.74	match	match	match	match
Apion astragali	1	1	monophyletic		N/A		17.22	match	match	match	match
Apion cerdo	5	3	monophyletic		0.92		12.57	match	match	match	match
Apion cruentatum	2	1	monophyletic		0.00		7.36	match	match	match	match
Apion curtirostre	2	2	monophyletic		0.61		18.76	match	match	match	match
Apion ervi	3	1	monophyletic		0.00		14.39	match	match	match	match
Apion facetum	4	2	monophyletic		5.44	5.42	9.53	match	split	split	split
Apion frumentarium	2	2	monophyletic		0.15		7.36	match	match	match	match
Apion fulvipes	2	1	monophyletic		0.00		4.59	merge	match	match	match
Apion gracilipes	1	1	monophyletic		N/A		4.59	merge	match	match	match
Apion gyllenhalii	2	1	monophyletic		0.00		14.21	match	match	match	match
Apion hookerorum	3	1	monophyletic		0.00		17.07	match	match	match	match
Apion loti	4	2	monophyletic		0.61		15.45	match	match	match	match
Apion marchicum	1	1	monophyletic		N/A		19.74	match	match	match	match
Apion meliloti	6	4	monophyletic		0.82		15.45	match	match	match	match
Apion minimum	1	1	monophyletic		N/A		14.42	match	match	match	match
Apion opeticum	1	1	monophyletic		N/A		12.06	match	match	match	match
Apion punctigerum	1	1	monophyletic		N/A		9.53	match	match	match	match
Apion simile	4	3	monophyletic		0.96		16.04	match	match	match	match
Apion subulatum	3	1	monophyletic		0.00		12.06	match	match	match	match
Apion tenue	2	1	monophyletic		0.00		14.62	match	match	match	match
Apion trifolii	2	1	monophyletic		0.00		9.64	match	match	match	match
Apion urticarium	2	1	monophyletic		0.00		14.48	match	match	match	match
Apion viciae	5	5	monophyletic		1.96	1.60	14.33	match	split	match	match
Apion violaceum	3	2	monophyletic		0.16		18.80	match	match	match	match
Aplocnemus tarsalis	2	2	monophyletic		0.15		13.63	match	match	match	match
Aploderus caelatus	2	2	monophyletic		3.13	3.13	14.76	match	split	split	split
Aplotarsus incanus	4	2	monophyletic		0.15		16.07	match	match	match	match
Apocatops nigrita	2	1	monophyletic		0.00		15.39	match	match	match	match
Archarius crux	3	1	monophyletic		0.00		13.53	match	match	match	match
Archarius pyrrhoceras	2	2	monophyletic		0.30		15.77	match	match	match	match
Archarius salicivorus	2	2	monophyletic		0.32		13.53	match	match	match	match
Arhopalus rusticus	5	5	monophyletic		3.02	2.01	17.84	match	match	split	split
Aromia moschata	7	5	monophyletic		0.92		16.84	match	match	match	match
Arpedium quadrum	3	3	monophyletic		1.39		10.77	match	match	match	match
Asaphidion pallipes	4	3	monophyletic		0.30		11.09	match	match	match	match
Asemum striatum	5	3	monophyletic		0.61		14.56	match	match	match	match
Aspidiphorus orbiculatus	4	4	monophyletic		0.64		20.26	match	match	match	match
Astenus gracilis	4	4	monophyletic		1.07		13.21	match	match	match	match
Astenus pulchellus	5	2	monophyletic		0.61		13.21	match	match	match	match
Atheta aeneipennis	6	6	monophyletic		0.92		0.92	merge	merge	merge	merge
Atheta allocera	3	2	monophyletic		0.15		7.86	match	match	match	match
Atheta arctica	1	1	monophyletic		N/A		12.45	match	match	match	match
Atheta atramentaria	5	4	monophyletic		0.30		9.56	match	match	match	match
Atheta boreella	1	1	monophyletic		N/A		11.04	match	match	match	match
Atheta britteni	4	4	monophyletic		1.37		13.43	match	match	match	match
Atheta brunneipennis	2	2	monophyletic		0.15		8.54	match	match	match	match
Atheta castanoptera	1	1	monophyletic		N/A		8.59	match	match	match	match
Atheta cauta	3	3	monophyletic		0.30		12.78	match	match	match	match
Atheta celata	2	2	monophyletic		0.15		13.30	match	match	match	match
Atheta cinnamoptera	5	4	monophyletic		0.49		11.84	match	match	match	match
Atheta corvina	1	1	monophyletic		N/A		13.49	match	match	match	match
Atheta crassicornis	6	5	monophyletic		1.23		6.19	match	match	match	match
Atheta cribripennis	3	2	monophyletic		0.15		9.40	match	match	match	match
Atheta dadopora	1	1	monophyletic		N/A		11.47	match	match	match	match
Atheta deformis	2	1	monophyletic		0.00		12.78	match	match	match	match
Atheta depressicollis	1	1	monophyletic		N/A		12.21	match	match	match	match
Atheta diversa	1	1	monophyletic		N/A		4.39	match	match	match	match
Atheta elongatula	6	5	monophyletic		1.72	1.23	11.86	match	match	match	match
Atheta euryptera	4	1	monophyletic		0.00		8.87	match	match	match	match
Atheta excelsa	2	1	monophyletic		0.00		10.46	match	match	match	match
Atheta fallaciosa	1	1	monophyletic		N/A		13.68	match	match	match	match
Atheta gagatina	4	3	monophyletic		0.75		13.40	match	match	match	match
Atheta graminicola	7	3	monophyletic		0.30		8.54	match	match	match	match
Atheta gyllenhalii	2	2	monophyletic		1.02		12.03	match	match	match	match
Atheta hygrotopora	3	3	monophyletic		1.39		12.01	match	match	match	match
Atheta hypnorum	2	2	monophyletic		0.61		2.01	match	match	merge	match
Atheta incognita	4	2	monophyletic		0.15		2.01	match	match	merge	match
Atheta intermedia	2	2	monophyletic		0.15		12.10	match	match	match	match
Atheta ischnocera	2	2	monophyletic		0.61		13.18	match	match	match	match
Atheta laevana	8	1	monophyletic		0.00		9.39	match	match	match	match
Atheta lapponica	5	3	paraphyletic	Atheta aeneipennis	0.61		0.92	merge	merge	merge	merge
Atheta laticollis	4	2	monophyletic		0.15		14.57	match	match	match	match
Atheta longicornis	1	1	monophyletic		N/A		14.53	match	match	match	match
Atheta macrocera	4	3	monophyletic		2.80	2.59	14.17	match	split	split	split
Atheta malleus	5	3	paraphyletic	Atheta volans	0.61		0.30	merge	merge	merge	merge
Atheta marcida	1	1	monophyletic		N/A		12.51	match	match	match	match
Atheta melanocera	6	3	monophyletic		0.30		3.93	match	match	match	match
Atheta munsteri	1	1	monophyletic		N/A		4.42	merge	match	match	match
Atheta myrmecobia	2	2	monophyletic		3.81	3.81	11.65	match	split	split	split
Atheta nesslingi	3	3	monophyletic		0.73		9.54	match	match	match	match
Atheta nigripes	6	4	monophyletic		1.70	1.38	9.40	match	split	match	match
Atheta palustris	4	4	monophyletic		0.46		10.67	match	match	match	match
Atheta paracrassicornis	2	2	monophyletic		0.49		6.19	match	match	match	match
Atheta picipes	2	1	monophyletic		0.00		10.62	match	match	match	match
Atheta pilicornis	2	2	monophyletic		2.01	2.01	8.43	match	match	match	split
Atheta pinegensis	2	2	monophyletic		0.15		11.65	match	match	match	match
Atheta procera	2	1	monophyletic		0.00		11.05	match	match	match	match
Atheta setigera	4	2	monophyletic		0.15		9.73	match	match	match	match
Atheta sodalis	5	4	monophyletic		0.92		5.08	match	match	match	match
Atheta sordidula	1	1	monophyletic		N/A		12.79	match	match	match	match
Atheta sp.1	1	1	monophyletic		N/A		5.55	match	match	match	match
Atheta sp.2	1	1	monophyletic		N/A		14.30	match	match	match	match
Atheta spatuloides	4	3	monophyletic		0.30		12.21	match	match	match	match
Atheta strandiella	3	1	monophyletic		0.00		6.55	match	match	match	match
Atheta subtilis	6	2	monophyletic		0.17		10.28	match	match	match	match
Atheta taxiceroides	1	1	monophyletic		N/A		10.62	match	match	match	match
Atheta vaga	5	3	monophyletic		0.61		12.59	match	match	match	match
Atheta vestita	4	2	monophyletic		0.15		11.70	match	match	match	match
Atheta vilis	2	2	monophyletic		1.23		13.04	match	match	match	match
Atheta volans	3	1	monophyletic		0.00		0.30	merge	merge	merge	merge
Atholus duodecimstriatus	3	2	monophyletic		0.15		16.61	match	match	match	match
Athous haemorrhoidalis	7	2	monophyletic		0.48		15.51	match	match	match	match
Athous subfuscus	4	2	monophyletic		0.15		14.45	match	match	match	match
Atomaria apicalis	1	1	monophyletic		N/A		10.70	match	match	match	match
Atomaria basalis	1	1	monophyletic		N/A		12.85	match	match	match	match
Atomaria fulvipennis	1	1	monophyletic		N/A		6.08	match	match	match	match
Atomaria fuscata	4	2	monophyletic		0.15		12.77	match	match	match	match
Atomaria lewisi	3	2	monophyletic		0.92		11.94	match	match	match	match
Atomaria nigrirostris	1	1	monophyletic		N/A		14.97	match	match	match	match
Atomaria nitidula	2	1	monophyletic		0.00		6.08	match	match	match	match
Atomaria peltata	1	1	monophyletic		N/A		12.85	match	match	match	match
Atomaria pusilla	1	1	monophyletic		N/A		13.53	match	match	match	match
Atomaria rubella	5	3	monophyletic		0.92		12.25	match	match	match	match
Atomaria sp.	1	1	monophyletic		N/A		12.85	match	match	match	match
Atomaria testacea	1	1	monophyletic		N/A		13.67	match	match	match	match
Atomaria turgida	2	2	monophyletic		0.46		10.70	match	match	match	match
Atomaria vespertina	1	1	monophyletic		N/A		14.04	match	match	match	match
Atomaria wollastoni	3	1	monophyletic		0.00		14.04	match	match	match	match
Atomaria zetterstedti	2	2	monophyletic		0.15		12.25	match	match	match	match
Atrecus pilicornis	1	1	monophyletic		N/A		12.78	match	match	match	match
Attagenus pellio	1	1	monophyletic		N/A		15.50	match	match	match	match
Attagenus woodroffei	1	1	monophyletic		N/A		16.05	match	match	match	match
Auleutes epilobii	3	2	monophyletic		0.46		18.37	match	match	match	match
Autalia longicornis	1	1	monophyletic		N/A		8.90	match	match	match	match
Autalia puncticollis	3	1	monophyletic		0.00		8.90	match	match	match	match
Autalia rivularis	2	2	monophyletic		0.31		12.78	match	match	match	match
Aygules intermedius	1	1	monophyletic		N/A		12.61	match	match	match	match
Badister bullatus	6	1	monophyletic		0.00		6.40	match	match	match	match
Badister dilatatus	7	2	monophyletic		0.15		9.77	match	match	match	match
Badister lacertosus	1	1	monophyletic		N/A		6.40	match	match	match	match
Baeocrara japonica	1	1	monophyletic		N/A		15.05	match	match	match	match
Baeocrara variolosa	2	2	monophyletic		0.15		15.05	match	match	match	match
Bagous glabrirostris	2	1	monophyletic		0.00		21.01	match	match	match	match
Bagous longitarsis	2	2	monophyletic		0.15		23.06	match	match	match	match
