Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome
Limonius minutus	3	3	monophyletic		0.30		15.85	match	match	match	match
Liogluta alpestris	2	1	monophyletic		0.00		6.66	match	match	match	match
Liogluta granigera	2	1	monophyletic		0.00		6.66	match	match	match	match
Liogluta micans	4	3	monophyletic		0.30		6.72	match	match	match	match
Liotrichus affinis	2	1	monophyletic		0.00		17.86	match	match	match	match
Litargus connexus	4	2	monophyletic		1.07		13.82	match	match	match	match
Lithocharis nigriceps	4	3	monophyletic		0.92		13.63	match	match	match	match
Lixus iridis	3	1	monophyletic		0.16		20.41	match	match	match	match
Lochmaea caprea	4	2	paraphyletic	Lochmaea suturalis	0.46		0.00	merge	merge	merge	merge
Lochmaea suturalis	2	2	paraphyletic	Lochmaea caprea	0.32		0.00	merge	merge	merge	merge
Lomechusoides wellenii	2	2	monophyletic		0.31		12.42	match	match	match	match
Longitarsus brunneus	4	2	monophyletic		0.15		12.63	match	match	match	match
Longitarsus exsoletus	2	2	monophyletic		0.30		13.17	match	match	match	match
Longitarsus holsaticus	1	1	monophyletic		N/A		10.75	match	match	match	match
Longitarsus lewisii	3	3	monophyletic		0.15		11.70	match	match	match	match
Longitarsus longiseta	3	2	monophyletic		0.33		15.06	match	match	match	match
Longitarsus luridus	5	3	monophyletic		0.30		10.66	match	match	match	match
Longitarsus melanocephalus	6	1	monophyletic		0.19		0.00	merge	merge	merge	merge
Longitarsus nigerrimus	2	2	monophyletic		0.15		13.72	match	match	match	match
Longitarsus parvulus	1	1	monophyletic		N/A		11.43	match	match	match	match
Longitarsus reichei	1	1	monophyletic		N/A		0.00	merge	merge	merge	merge
Longitarsus rubiginosus	1	1	monophyletic		N/A		12.06	match	match	match	match
Longitarsus succineus	3	1	monophyletic		0.00		10.66	match	match	match	match
Longitarsus tabidus	1	1	monophyletic		N/A		11.43	match	match	match	match
Lordithon bimaculatus	2	1	monophyletic		0.00		14.02	match	match	match	match
Lordithon lunulatus	4	4	monophyletic		0.77		14.31	match	match	match	match
Lordithon thoracicus	4	3	monophyletic		0.30		14.04	match	match	match	match
Loricera pilicornis	3	2	monophyletic		0.30		13.45	match	match	match	match
Luperus flavipes	3	2	monophyletic		0.16		18.04	match	match	match	match
Lygistopterus sanguineus	4	2	monophyletic		0.15		17.61	match	match	match	match
Lypoglossa lateralis	5	2	monophyletic		0.30		11.65	match	match	match	match
Lyprocorrhe anceps	2	1	monophyletic		0.00		15.49	match	match	match	match
Lythraria salicariae	5	3	monophyletic		0.32		15.92	match	match	match	match
Lytta vesicatoria	1	1	monophyletic		N/A		18.91	match	match	match	match
Macroplea appendiculata	2	2	monophyletic		0.15		5.49	merge	match	match	match
Macroplea mutica	1	1	monophyletic		N/A		5.49	merge	match	match	match
Magdalis carbonaria	5	4	monophyletic		0.32		14.65	match	match	match	match
Magdalis cerasi	1	1	monophyletic		N/A		14.29	match	match	match	match
Magdalis duplicata	2	2	monophyletic		0.15		4.77	merge	match	match	match
Magdalis frontalis	1	1	monophyletic		N/A		4.77	merge	match	match	match
Magdalis ruficornis	1	1	monophyletic		N/A		14.05	match	match	match	match
Malachius bipustulatus	1	1	monophyletic		N/A		12.11	match	match	match	match
Malthinus biguttatus	2	2	monophyletic		0.48		14.87	match	match	match	match
Malthinus facialis	2	1	monophyletic		0.00		15.55	match	match	match	match
Malthinus flaveolus	2	2	monophyletic		0.15		15.01	match	match	match	match
Malthinus frontalis	1	1	monophyletic		N/A		14.56	match	match	match	match
Malthodes brevicollis	4	2	monophyletic		0.15		15.96	match	match	match	match
Malthodes fibulatus	1	1	monophyletic		N/A		12.16	match	match	match	match
Malthodes flavoguttatus	1	1	monophyletic		N/A		17.18	match	match	match	match
Malthodes fuscus	4	2	monophyletic		1.08		17.41	match	match	match	match
Malthodes guttifer	3	1	monophyletic		0.00		13.19	match	match	match	match
Malthodes marginatus	1	1	monophyletic		N/A		14.96	match	match	match	match
Malthodes minimus	2	2	monophyletic		0.15		16.50	match	match	match	match
Malthodes misellus	6	2	monophyletic		0.16		12.16	match	match	match	match
Malthodes mysticus	1	1	monophyletic		N/A		13.19	match	match	match	match
Malthodes pumilus	2	2	monophyletic		0.30		9.35	match	match	match	match
Malthodes spathifer	2	2	monophyletic		0.15		9.35	match	match	match	match
Mannerheimia arctica	3	3	monophyletic		0.30		15.37	match	match	match	match
Mantura chrysanthemi	1	1	monophyletic		N/A		13.20	match	match	match	match
Margarinotus striola	2	1	monophyletic		0.00		20.59	match	match	match	match
Mecinus pascuorum	5	2	monophyletic		0.30		20.20	match	match	match	match
Megarthrus denticollis	2	1	monophyletic		0.00		15.90	match	match	match	match
Megarthrus depressus	4	2	monophyletic		0.17		13.36	match	match	match	match
Megarthrus nitidulus	2	2	monophyletic		0.15		12.09	match	match	match	match
Megarthrus prosseni	2	2	monophyletic		0.64		12.09	match	match	match	match
Megasternum concinnum	4	4	monophyletic		11.02	10.84	13.20	split	split	split	split
Melandrya dubia	2	2	monophyletic		0.15		14.92	match	match	match	match
Melanimon tibialis	5	4	monophyletic		2.96	2.58	14.45	match	split	split	split
Melanophila acuminata	3	3	monophyletic		2.33	2.01	15.70	match	match	match	match
Melanophthalma transversalis	2	2	monophyletic		0.15		13.32	match	match	match	match
Melanotus castanipes	4	2	monophyletic		0.30		8.75	match	match	match	match
Melanotus villosus	1	1	monophyletic		N/A		8.75	match	match	match	match
Melasis buprestoides	2	1	monophyletic		0.00		20.59	match	match	match	match
Meligethes aeneus	12	7	monophyletic		2.33	1.45	12.81	match	split	match	match
Meligethes carinulatus	6	3	monophyletic		0.67		15.50	match	match	match	match
Meligethes denticulatus	2	2	monophyletic		2.32	2.32	13.12	match	match	split	match
Meligethes difficilis	7	4	monophyletic		3.45	3.28	12.41	split	split	split	split
Meligethes exilis	2	2	monophyletic		0.15		10.06	match	match	match	match
Meligethes haemorrhoidalis	1	1	monophyletic		N/A		15.87	match	match	match	match
Meligethes lugubris	3	3	monophyletic		0.34		10.06	match	match	match	match
Meligethes matronalis	4	1	monophyletic		0.00		10.53	match	match	match	match
Meligethes morosus	2	1	monophyletic		0.00		13.41	match	match	match	match
Meligethes ochropus	3	2	monophyletic		0.15		12.41	match	match	match	match
Meligethes ovatus	2	1	monophyletic		0.00		13.41	match	match	match	match
Meligethes ruficornis	3	1	monophyletic		0.00		14.24	match	match	match	match
Meligethes sp.	1	1	monophyletic		N/A		15.03	match	match	match	match
Meligethes subaeneus	3	1	monophyletic		0.00		10.53	match	match	match	match
Meligethes subrugosus	1	1	monophyletic		N/A		15.12	match	match	match	match
Meligethes tristis	2	1	monophyletic		0.00		17.62	match	match	match	match
Meloe violaceus	2	2	monophyletic		0.46		19.65	match	match	match	match
Melolontha hippocastani	5	3	monophyletic		0.46		18.74	match	match	match	match
Meotica exilis	1	1	monophyletic		N/A		8.57	match	match	match	match
Meotica pallens	2	1	monophyletic		0.00		8.57	match	match	match	match
Mesosa myops	2	1	monophyletic		0.00		17.40	match	match	match	match
Metoecus paradoxus	3	3	monophyletic		1.07		15.68	match	match	match	match
Miarus campanulae	3	3	monophyletic		0.32		16.41	match	match	match	match
Micrambe abietis	1	1	monophyletic		N/A		17.81	match	match	match	match
Micrambe bimaculata	1	1	monophyletic		N/A		16.84	match	match	match	match
Microcara testacea	8	6	monophyletic		0.46		14.76	match	match	match	match
Microlestes minutulus	4	4	monophyletic		0.61		8.58	match	match	match	match
Migneauxia lederi	3	2	monophyletic		0.76		11.48	match	match	match	match
Miscodera arctica	1	1	monophyletic		N/A		12.91	match	match	match	match
Mniusa incrassata	1	1	monophyletic		N/A		11.30	match	match	match	match
Molorchus minor	5	1	monophyletic		0.00		20.41	match	match	match	match
Monochamus galloprovincialis	3	2	monophyletic		0.35		2.23	merge	match	match	match
Monochamus sutor	6	5	monophyletic		1.62	1.12	2.76	merge	match	match	match
Monochamus urussovii	3	3	monophyletic		0.30		2.23	merge	match	split	match
Monotoma angusticollis	2	2	monophyletic		0.30		16.35	match	match	match	match
Monotoma bicolor	1	1	monophyletic		N/A		14.78	match	match	match	match
Monotoma picipes	1	1	monophyletic		N/A		14.80	match	match	match	match
Mordella aculeata	2	1	monophyletic		0.00		22.88	match	match	match	match
Mordella holomelaena	2	1	monophyletic		0.00		22.50	match	match	match	match
Mordellistena humeralis	1	1	monophyletic		N/A		24.08	match	match	match	match
Mordellistena sp.1	2	2	monophyletic		0.46		13.63	match	match	match	match
Mordellistena sp.2	1	1	monophyletic		N/A		18.77	match	match	match	match
Mordellistena sp.3	1	1	monophyletic		N/A		11.60	match	match	match	match
Mordellistena sp.4	1	1	monophyletic		N/A		11.60	match	match	match	match
Mordellochroa abdominalis	4	1	monophyletic		0.00		17.23	match	match	match	match
Morychus aeneus	2	2	monophyletic		0.15		17.59	match	match	match	match
Mycetaea subterranea	2	1	monophyletic		0.00		14.25	match	match	match	match
Mycetochara axillaris	6	4	monophyletic		0.30		14.92	match	match	match	match
Mycetochara flavipes	2	2	monophyletic		0.15		16.66	match	match	match	match
Mycetophagus decempunctatus	2	2	monophyletic		0.46		14.57	match	match	match	match
Mycetophagus multipunctatus	1	1	monophyletic		N/A		12.99	match	match	match	match
Mycetophagus piceus	2	2	monophyletic		1.13		12.99	match	match	match	match
Mycetophagus populi	1	1	monophyletic		N/A		15.51	match	match	match	match
Mycetoporus altaicus	3	1	monophyletic		0.00		13.21	match	match	match	match
Mycetoporus boreellus	1	1	monophyletic		N/A		12.25	match	match	match	match
Mycetoporus clavicornis	2	1	monophyletic		0.00		12.94	match	match	match	match
Mycetoporus monticola	1	1	monophyletic		N/A		9.13	match	match	match	match
Mycetoporus tenuis	1	1	monophyletic		N/A		9.13	match	match	match	match
Mylabris sp.	1	1	monophyletic		N/A		21.04	match	match	match	match
Myllaena dubia	1	1	monophyletic		N/A		16.86	match	match	match	match
Myllaena intermedia	3	3	monophyletic		4.26	4.10	14.75	match	split	split	split
Myllaena minuta	1	1	monophyletic		N/A		15.14	match	match	match	match
Myrmechixenus subterraneus	1	1	monophyletic		N/A		4.70	merge	match	match	match
Myrmechixenus vaporariorum	1	1	monophyletic		N/A		4.70	merge	match	match	match
Myrmecocephalus concinnus	3	2	monophyletic		0.15		15.10	match	match	match	match
Myrrha octodecimguttata	2	2	monophyletic		2.09	2.09	9.95	match	split	match	split
Myzia oblongoguttata	2	2	monophyletic		0.46		11.79	match	match	match	match
Nanophyes marmoratus	4	2	monophyletic		0.15		17.47	match	match	match	match
Nebria brevicollis	5	2	monophyletic		0.15		12.91	match	match	match	match
Nebria livida	3	1	monophyletic		0.00		12.99	match	match	match	match
Nebria nivalis	3	2	monophyletic		0.15		8.24	match	match	match	match
Nebria rufescens	1	1	monophyletic		N/A		8.24	match	match	match	match
Nebrioporus depressus	5	4	monophyletic		0.80		12.74	match	match	match	match
Necrobia violacea	5	5	monophyletic		1.38		11.96	match	match	match	match
Necrodes littoralis	3	3	monophyletic		0.92		12.19	match	match	match	match
Necydalis major	4	4	monophyletic		0.31		17.43	match	match	match	match
Nedyus quadrimaculatus	6	6	monophyletic		3.30	1.71	17.44	match	match	match	match
Negastrius sp.	2	1	monophyletic		0.00		17.42	match	match	match	match
Nehemitropia lividipennis	1	1	monophyletic		N/A		15.14	match	match	match	match
Neocoenorrhinus aequatus	2	1	monophyletic		0.00		16.81	match	match	match	match
Neocoenorrhinus germanicus	5	3	monophyletic		1.38		17.80	match	match	match	match
Neocrepidodera femorata	1	1	monophyletic		N/A		16.82	match	match	match	match
Neocrepidodera ferruginea	4	2	monophyletic		0.15		16.28	match	match	match	match
Neocrepidodera motschulskii	1	1	monophyletic		N/A		17.79	match	match	match	match
Neocrepidodera nigritula	3	1	monophyletic		0.00		15.32	match	match	match	match
Neocrepidodera sp.1	1	1	monophyletic		N/A		16.89	match	match	match	match
Nephus redtenbacheri	1	1	monophyletic		N/A		18.39	match	match	match	match
Nevraphes angulatus	1	1	monophyletic		N/A		17.97	match	match	match	match
Nicrophorus investigator	2	2	monophyletic		0.46		10.77	match	match	match	match
Nicrophorus vespilloides	3	3	monophyletic		1.23		10.77	match	match	match	match
Nitidula bipunctata	1	1	monophyletic		N/A		12.78	match	match	match	match
Nitidula rufipes	4	2	monophyletic		0.15		12.78	match	match	match	match
Nivellia sanguinosa	1	1	monophyletic		N/A		14.92	match	match	match	match
Notaris acridulus	6	3	monophyletic		0.61		12.21	match	match	match	match
Notaris aethiops	1	1	monophyletic		N/A		21.66	match	match	match	match
Notaris scirpi	2	2	monophyletic		0.16		12.21	match	match	match	match
Noterus clavicornis	2	1	monophyletic		0.00		11.49	match	match	match	match
Noterus crassicornis	2	2	monophyletic		0.15		11.49	match	match	match	match
Notiophilus aestuans	1	1	monophyletic		N/A		8.58	match	match	match	match
Notiophilus aquaticus	6	4	monophyletic		0.46		8.58	match	match	match	match
Notiophilus biguttatus	2	1	monophyletic		0.00		10.51	match	match	match	match
Notiophilus germinyi	3	3	monophyletic		3.76	3.76	10.03	split	split	split	split
Notiophilus palustris	3	2	monophyletic		0.15		9.00	match	match	match	match
Notothecta flavipes	1	1	monophyletic		N/A		5.08	match	match	match	match
Notoxus monoceros	7	3	monophyletic		0.30		16.24	match	match	match	match
Nudobius lentus	4	2	monophyletic		0.15		13.30	match	match	match	match
Oberea oculata	2	2	monophyletic		0.15		13.16	match	match	match	match
Ocalea picata	7	3	monophyletic		0.30		11.30	match	match	match	match
Ochthebius marinus	1	1	monophyletic		N/A		13.27	match	match	match	match
Ochthebius minimus	7	4	monophyletic		0.48		13.81	match	match	match	match
Ochthephilum collare	2	2	monophyletic		0.46		7.78	match	match	match	match
Ochthephilum fracticorne	4	4	monophyletic		2.30	1.76	7.78	match	match	match	match
Ocypus fuscatus	1	1	monophyletic		N/A		12.24	match	match	match	match
Ocypus nitens	1	1	monophyletic		N/A		12.24	match	match	match	match
Ocypus ophthalmicus	3	3	monophyletic		0.46		13.47	match	match	match	match
Ocyusa maura	3	1	monophyletic		0.00		8.55	match	match	match	match
Ocyusa picina	2	2	monophyletic		0.30		9.22	match	match	match	match
Odacantha melanura	3	3	monophyletic		1.42	1.08	12.91	match	match	match	match
Oedemera croceicollis	3	1	monophyletic		0.00		17.32	match	match	match	match
Oedemera femorata	3	2	monophyletic		1.38		12.58	match	match	match	match
Oedemera lurida	5	2	monophyletic		0.15		9.08	match	match	match	match
Oedemera subrobusta	5	2	monophyletic		0.31		8.55	match	match	match	match
Oedemera virescens	3	2	monophyletic		0.76		8.55	match	match	match	match
Oiceoptoma thoracicum	2	2	monophyletic		0.15		14.25	match	match	match	match
Olibrus aeneus	2	1	monophyletic		0.00		2.60	mixture	match	match	mixture
Olibrus bimaculatus	2	2	monophyletic		0.46		10.84	match	match	match	match
Olibrus millefolii	4	4	paraphyletic	Olibrus aeneus	7.20	6.43	2.60	mixture	split	split	mixture
Olibrus norvegicus	2	1	monophyletic		0.00		10.84	match	match	match	match
Oligota pusillima	1	1	monophyletic		N/A		14.00	match	match	match	match
Oligota sp.	1	1	monophyletic		N/A		14.00	match	match	match	match
Olisthaerus megacephalus	1	1	monophyletic		N/A		13.30	match	match	match	match
Olisthopus rotundatus	3	2	monophyletic		0.15		9.03	match	match	match	match
Olophrum assimile	5	4	monophyletic		0.46		12.93	match	match	match	match
Olophrum boreale	3	3	monophyletic		0.92		8.56	match	match	match	match
Olophrum consimile	4	4	monophyletic		0.92		7.88	match	match	match	match
Olophrum fuscum	1	1	monophyletic		N/A		7.88	match	match	match	match
Olophrum rotundicolle	4	3	monophyletic		0.46		8.80	match	match	match	match
Omalium littorale	3	2	monophyletic		0.15		8.71	match	match	match	match
Omalium riparium	3	2	monophyletic		0.46		8.73	match	match	match	match
Omalium rivulare	7	1	monophyletic		0.00		9.58	match	match	match	match
Omalium rugatum	3	3	monophyletic		1.07		10.44	match	match	match	match
Omalium septentrionis	2	1	monophyletic		0.00		8.71	match	match	match	match
Omalium strigicolle	1	1	monophyletic		N/A		8.71	match	match	match	match
Omonadus floralis	2	2	monophyletic		2.48	2.48	13.11	match	match	split	split
Omosita colon	5	1	monophyletic		0.00		15.12	match	match	match	match
Ontholestes murinus	2	1	monophyletic		0.00		14.83	match	match	match	match
Oodes helopioides	4	4	monophyletic		0.92		11.84	match	match	match	match
Opatrum riparium	2	2	paraphyletic	Opatrum sabulosum	2.65	2.65	0.18	merge	mixture	merge	merge
Opatrum sabulosum	1	1	monophyletic		N/A		0.18	merge	mixture	merge	merge
Ophonus rufibarbis	4	3	monophyletic		0.30		5.03	match	match	match	match
Oplosia cinerea	3	2	monophyletic		0.15		15.72	match	match	match	match
Orchesia fasciata	2	2	monophyletic		0.46		12.39	match	match	match	match
Orchesia micans	1	1	monophyletic		N/A		12.39	match	match	match	match
Orectochilus villosus	1	1	monophyletic		N/A		13.28	match	match	match	match
Oreodytes alpinus	5	4	monophyletic		0.46		13.56	match	match	match	match
Oreodytes septentrionalis	2	2	monophyletic		0.32		13.38	match	match	match	match
Orithales serraticornis	4	2	monophyletic		0.30		18.42	match	match	match	match
Orthocis alni	4	1	monophyletic		0.00		20.38	match	match	match	match
Orthoperus corticalis	1	1	monophyletic		N/A		14.24	match	match	match	match
Orthoperus rogeri	1	1	monophyletic		N/A		14.24	match	match	match	match
Orthotomicus laricis	1	1	monophyletic		N/A		20.11	match	match	match	match
Orthotomicus suturalis	1	1	monophyletic		N/A		20.16	match	match	match	match
Oryctes nasicornis	2	1	monophyletic		0.00		20.15	match	match	match	match
Oryzaephilus surinamensis	4	1	monophyletic		0.00		21.37	match	match	match	match
Ostoma ferruginea	1	1	monophyletic		N/A		17.72	match	match	match	match
Othius angustus	1	1	monophyletic		N/A		13.63	match	match	match	match
Othius lapidicola	1	1	monophyletic		N/A		13.76	match	match	match	match
Othius punctulatus	3	2	monophyletic		0.15		15.17	match	match	match	match
Othius subuliformis	1	1	monophyletic		N/A		14.73	match	match	match	match
Otiorhynchus arcticus	2	1	monophyletic		0.00		18.71	match	match	match	match
Otiorhynchus ligustici	3	2	monophyletic		0.15		18.15	match	match	match	match
Otiorhynchus nodosus	2	1	monophyletic		0.00		16.86	match	match	match	match
Otiorhynchus ovatus	3	3	monophyletic		2.82	2.03	19.82	match	split	match	split
Otiorhynchus porcatus	1	1	monophyletic		N/A		17.46	match	match	match	match
Otiorhynchus raucus	1	1	monophyletic		N/A		19.16	match	match	match	match
Otiorhynchus scaber	2	1	monophyletic		0.00		20.46	match	match	match	match
Otiorhynchus singularis	2	1	monophyletic		0.00		20.46	match	match	match	match
Oulema erichsonii	1	1	monophyletic		N/A		0.92	mixture	mixture	mixture	mixture
Oulema melanopus	6	4	paraphyletic	Oulema erichsonii	9.22	8.65	0.92	mixture	mixture	mixture	mixture
Oulema obscura	4	3	monophyletic		0.61		17.47	match	match	match	match
Oulimnius tuberculatus	2	1	monophyletic		0.00		18.10	match	match	match	match
Oxymirus cursor	2	1	monophyletic		0.00		15.86	match	match	match	match
Oxyomus sylvestris	2	1	monophyletic		0.00		14.62	match	match	match	match
Oxypoda acuminata	2	1	monophyletic		0.00		8.55	match	match	match	match
Oxypoda advena	1	1	monophyletic		N/A		9.22	match	match	match	match
Oxypoda annularis	3	2	monophyletic		1.23		5.88	match	match	match	match
Oxypoda brevicornis	3	1	monophyletic		0.00		10.26	match	match	match	match
Oxypoda elongatula	1	1	monophyletic		N/A		8.28	match	match	match	match
Oxypoda flavicornis	1	1	monophyletic		N/A		5.88	match	match	match	match
Oxypoda funebris	4	2	monophyletic		0.15		5.53	match	match	match	match
Oxypoda islandica	1	1	monophyletic		N/A		9.41	match	match	match	match
Oxypoda nigricornis	2	2	monophyletic		0.17		10.61	match	match	match	match
Oxypoda opaca	5	3	monophyletic		0.77		13.05	match	match	match	match
Oxypoda procerula	2	1	monophyletic		0.00		5.53	match	match	match	match
Oxypoda skalitzkyi	1	1	monophyletic		N/A		8.02	match	match	match	match
Oxypoda soror	1	1	monophyletic		N/A		6.71	match	match	match	match
Oxypoda spectabilis	1	1	monophyletic		N/A		8.55	match	match	match	match
Oxypoda strandi	4	1	monophyletic		0.00		6.71	match	match	match	match
Oxypoda togata	2	1	monophyletic		0.00		14.37	match	match	match	match
Oxyporus rufus	1	1	monophyletic		N/A		14.90	match	match	match	match
Oxypselaphus obscurus	4	2	monophyletic		0.15		10.07	match	match	match	match
Oxytelus laqueatus	6	2	monophyletic		3.76	3.72	17.60	split	split	split	split
Oxytelus sculptus	2	2	monophyletic		0.61		14.59	match	match	match	match
Oxythyrea funesta	5	1	monophyletic		0.00		13.78	match	match	match	match
Pachnida nigella	1	1	monophyletic		N/A		14.48	match	match	match	match
Pachybrachis hieroglyphicus	3	1	monophyletic		0.00		22.89	match	match	match	match
Pachyta lamed	2	1	monophyletic		0.00		7.59	match	match	match	match
Pachyta quadrimaculata	5	5	monophyletic		0.92		7.59	match	match	match	match
Paederus fuscipes	3	2	monophyletic		0.46		12.69	match	match	match	match
Paederus riparius	3	3	monophyletic		0.46		12.69	match	match	match	match
Palorus depressus	1	1	monophyletic		N/A		15.55	match	match	match	match
Panagaeus cruxmajor	2	2	monophyletic		0.15		11.83	match	match	match	match
Paradromius linearis	6	3	monophyletic		0.92		11.13	match	match	match	match
Paranchus albipes	1	1	monophyletic		N/A		9.05	match	match	match	match
Patrobus assimilis	4	4	monophyletic		1.07		10.48	match	match	match	match
Patrobus atrorufus	3	2	monophyletic		0.30		8.04	match	match	match	match
Patrobus australis	1	1	monophyletic		N/A		0.48	merge	merge	merge	merge
Patrobus septentrionis	5	4	paraphyletic	Patrobus australis	0.92		0.48	merge	merge	merge	merge
Pediacus fuscus	1	1	monophyletic		N/A		15.48	match	match	match	match
Pedostrangalia pubescens	3	1	monophyletic		0.00		14.00	match	match	match	match
Pelenomus canaliculatus	1	1	monophyletic		N/A		16.31	match	match	match	match
Pelenomus quadrituberculatus	3	3	monophyletic		1.38		17.01	match	match	match	match
Pelophila borealis	1	1	monophyletic		N/A		12.60	match	match	match	match
Peltis grossa	3	2	monophyletic		0.16		17.01	match	match	match	match
Pentaphyllus testaceus	1	1	monophyletic		N/A		20.66	match	match	match	match
Phaedon cochleariae	3	2	monophyletic		0.15		14.18	match	match	match	match
Phaenops cyanea	5	2	monophyletic		0.30		14.76	match	match	match	match
Phalacrus caricis	3	1	monophyletic		0.00		18.58	match	match	match	match
Pheletes aeneoniger	4	1	monophyletic		0.00		16.42	match	match	match	match
Philonthus addendus	2	2	monophyletic		0.30		13.54	match	match	match	match
Philonthus albipes	6	3	monophyletic		3.76	3.60	15.29	split	split	split	split
Philonthus atratus	1	1	monophyletic		N/A		5.43	merge	match	match	match
Philonthus carbonarius	3	1	monophyletic		0.00		5.94	match	match	match	match
Philonthus cognatus	3	2	monophyletic		1.28		14.13	match	match	match	match
Philonthus debilis	5	3	monophyletic		0.46		16.15	match	match	match	match
Philonthus decorus	2	2	monophyletic		0.16		11.79	match	match	match	match
Philonthus discoideus	3	1	monophyletic		0.00		15.35	match	match	match	match
Philonthus marginatus	1	1	monophyletic		N/A		20.77	match	match	match	match
Philonthus micans	3	2	monophyletic		0.15		6.55	match	match	match	match
Philonthus micantoides	2	1	monophyletic		0.00		3.68	match	match	match	match
Philonthus nigrita	4	2	monophyletic		0.15		15.94	match	match	match	match
Philonthus nitidus	2	2	monophyletic		0.15		13.31	match	match	match	match
Philonthus politus	4	1	monophyletic		0.00		13.31	match	match	match	match
Philonthus quisquiliarius	9	4	monophyletic		3.06	2.63	14.88	split	split	split	split
Philonthus rectangulus	3	3	monophyletic		0.30		15.20	match	match	match	match
Philonthus rotundicollis	1	1	monophyletic		N/A		15.53	match	match	match	match
Philonthus rubripennis	4	1	monophyletic		0.00		3.68	match	match	match	match
Philonthus sanguinolentus	1	1	monophyletic		N/A		15.88	match	match	match	match
Philonthus splendens	2	1	monophyletic		0.00		11.79	match	match	match	match
Philonthus subvirescens	3	2	monophyletic		0.15		5.43	merge	match	match	match
Philonthus tenuicornis	5	1	monophyletic		0.00		13.61	match	match	match	match
Philonthus umbratilis	2	1	monophyletic		0.00		18.48	match	match	match	match
Philonthus varians	4	1	monophyletic		0.00		16.13	match	match	match	match
Philopedon plagiatum	7	3	monophyletic		1.28		15.25	match	match	match	match
Philorhizus notatus	5	2	monophyletic		0.15		5.58	match	match	match	match
Philorhizus sigma	4	2	monophyletic		0.61		5.58	match	match	match	match
Phloeonomus punctipennis	1	1	monophyletic		N/A		15.68	match	match	match	match
Phloeopora concolor	1	1	monophyletic		N/A		12.37	match	match	match	match
Phloeostiba plana	2	1	monophyletic		0.00		15.90	match	match	match	match
Phloeotribus spinulosus	1	1	monophyletic		N/A		17.06	match	match	match	match
Phosphuga atrata	4	2	monophyletic		1.38		11.70	match	match	match	match
Phratora atrovirens	1	1	monophyletic		N/A		9.22	match	match	match	match
Phratora laticollis	5	3	monophyletic		0.30		11.79	match	match	match	match
Phratora polaris	6	3	monophyletic		1.08		9.22	match	match	match	match
Phratora vitellinae	5	4	monophyletic		0.61		12.01	match	match	match	match
Phratora vulgatissima	1	1	monophyletic		N/A		9.69	match	match	match	match
Phyllobius argentatus	7	4	monophyletic		1.70	1.07	15.60	match	match	match	match
Phyllobius glaucus	1	1	monophyletic		N/A		9.34	match	match	match	match
Phyllobius maculicornis	3	3	monophyletic		2.80	2.80	15.60	match	split	match	match
Phyllobius oblongus	1	1	monophyletic		N/A		16.91	match	match	match	match
Phyllobius pomaceus	3	2	monophyletic		0.79		9.34	match	match	match	match
Phyllobius pyri	4	2	monophyletic		0.32		13.46	match	match	match	match
Phyllobius virideaeris	1	1	monophyletic		N/A		15.36	match	match	match	match
Phyllobius viridicollis	1	1	monophyletic		N/A		13.46	match	match	match	match
Phyllobrotica quadrimaculata	2	2	monophyletic		0.16		16.24	match	match	match	match
Phyllodrepa clavigera	1	1	monophyletic		N/A		13.47	match	match	match	match
Phyllodrepa linearis	1	1	monophyletic		N/A		12.73	match	match	match	match
Phyllodrepa melanocephala	2	2	monophyletic		2.80	2.80	16.62	match	split	split	split
Phyllodrepa sahlbergi	1	1	monophyletic		N/A		13.50	match	match	match	match
Phyllopertha horticola	3	1	monophyletic		0.00		15.46	match	match	match	match
Phyllotreta armoraciae	4	2	monophyletic		1.70	1.70	14.45	match	split	match	split
Phyllotreta atra	2	2	monophyletic		0.30		10.21	match	match	match	match
Phyllotreta nigripes	6	2	monophyletic		0.15		16.30	match	match	match	match
Phyllotreta striolata	3	3	monophyletic		1.39		15.22	match	match	match	match
Phyllotreta tetrastigma	1	1	monophyletic		N/A		16.80	match	match	match	match
Phyllotreta undulata	4	3	monophyletic		0.77		16.17	match	match	match	match
Phyllotreta vittula	5	2	monophyletic		0.16		10.21	match	match	match	match
Phymatodes testaceus	5	3	monophyletic		0.46		17.99	match	match	match	match
Phytobius leucogaster	1	1	monophyletic		N/A		16.31	match	match	match	match
Phytoecia nigricornis	1	1	monophyletic		N/A		13.16	match	match	match	match
Pissodes harcyniae	2	2	monophyletic		0.30		13.65	match	match	match	match
Pissodes pini	3	3	monophyletic		2.09	1.86	13.90	match	match	match	match
Pissodes piniphilus	1	1	monophyletic		N/A		13.65	match	match	match	match
Pissodes validirostris	5	3	monophyletic		3.49	3.30	13.90	split	split	match	split
Pityogenes bidentatus	3	3	monophyletic		1.54	1.08	17.08	match	match	match	match
Pityogenes chalcographus	2	2	monophyletic		2.17	2.17	17.08	match	split	match	match
Pityophagus ferrugineus	3	1	monophyletic		0.00		15.65	match	match	match	match
Pityophthorus glabratus	1	1	monophyletic		N/A		19.78	match	match	match	match
