Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome	Average distance between samplings (km)	Stdev of distances between samplings (km)
Altica palustris	5	1	monophyletic		0.00		4.78	match	match	match	match	132.78	88.49
Amalus scortillum	1	1	monophyletic		N/A		17.61	match	match	match	match	0	N/A
Amara aenea	5	3	monophyletic		0.49		4.19	match	match	match	match	359.14	262.43
Amara alpina	3	2	paraphyletic	Amara torrida	1.07		0.00	merge	merge	merge	merge	189.55	164.16
Amara apricaria	2	1	monophyletic		0.00		10.72	match	match	match	match	0	N/A
Amara aulica	5	1	monophyletic		0.00		7.68	match	match	match	match	459.88	280.21
Amara bifrons	3	2	monophyletic		0.77		11.26	match	match	match	match	182.68	78.04
Amara brunnea	4	2	monophyletic		0.15		11.14	match	match	match	match	398.78	328.21
Amara communis	4	2	monophyletic		0.30		4.06	match	match	match	match	178.99	77.62
Amara consularis	3	1	monophyletic		0.00		9.11	match	match	match	match	26.39	13.65
Amara convexiuscula	1	1	monophyletic		N/A		3.12	match	match	match	match	0	N/A
Amara cursitans	1	1	monophyletic		N/A		7.38	match	match	match	match	0	N/A
Amara equestris	2	1	monophyletic		0.00		8.04	match	match	match	match	0	N/A
Amara erratica	3	3	monophyletic		0.46		4.87	match	match	match	match	147.43	117.86
Amara eurynota	1	1	monophyletic		N/A		5.86	match	match	match	match	0	N/A
Amara famelica	3	3	monophyletic		0.77		4.55	match	match	match	match	185.53	142.73
Amara familiaris	4	1	monophyletic		0.00		0.15	merge	merge	merge	merge	260.67	213.94
Amara fulva	3	2	monophyletic		0.77		9.77	match	match	match	match	375.99	285.05
Amara gebleri	2	2	monophyletic		0.16		7.68	match	match	match	match	0	N/A
Amara hyperborea	1	1	monophyletic		N/A		6.88	match	match	match	match	0	N/A
Amara ingenua	3	1	monophyletic		0.00		6.87	match	match	match	match	300.95	260.63
Amara lucida	1	1	monophyletic		N/A		0.15	merge	merge	merge	merge	0	N/A
Amara lunicollis	4	3	monophyletic		0.30		4.06	match	match	match	match	505.59	249.94
Amara majuscula	3	1	monophyletic		0.00		10.72	match	match	match	match	179.36	84.46
Amara municipalis	4	1	monophyletic		0.00		6.87	match	match	match	match	320.35	332.39
Amara ovata	6	1	monophyletic		0.00		0.92	merge	merge	merge	merge	315.68	235.65
Amara plebeja	5	3	monophyletic		0.48		5.85	match	match	match	match	396.57	245.72
Amara quenseli	4	3	monophyletic		0.31		8.04	match	match	match	match	542.21	254.15
Amara similata	2	1	monophyletic		0.00		0.92	merge	merge	merge	merge	0	N/A
Amara tibialis	3	1	monophyletic		0.00		5.85	match	match	match	match	710.02	614.90
Amara torrida	4	2	paraphyletic	Amara alpina	0.92		0.00	merge	merge	merge	merge	190.94	99.51
Amischa analis	5	4	paraphyletic	Amischa bifoveolata	0.46		0.00	merge	merge	merge	merge	392.08	220.37
Amischa bifoveolata	3	1	monophyletic		0.00		0.00	merge	merge	merge	merge	73.92	64.02
Amischa decipiens	1	1	monophyletic		N/A		11.49	match	match	match	match	0	N/A
Ampedus balteatus	8	3	monophyletic		0.76		8.81	match	match	match	match	355.86	214.20
Ampedus nigrinus	1	1	monophyletic		N/A		11.28	match	match	match	match	0	N/A
Ampedus pomonae	1	1	monophyletic		N/A		1.85	merge	match	match	merge	0	N/A
Ampedus pomorum	3	1	monophyletic		0.00		10.39	match	match	match	match	504.96	428.21
Ampedus sanguinolentus	3	2	monophyletic		0.48		1.85	merge	match	match	merge	18.60	16.10
Ampedus suecicus	1	1	monophyletic		N/A		6.08	match	match	match	match	0	N/A
Ampedus tristis	4	4	monophyletic		1.23		6.08	match	match	match	match	455.80	391.17
Amphicyllis globus	3	2	monophyletic		0.15		13.00	match	match	match	match	345.61	212.29
Amphimallon solstitiale	6	2	monophyletic		0.17		18.35	match	match	match	match	205.28	143.23
Anacaena globulus	3	1	monophyletic		0.00		14.00	match	match	match	match	0.00	0.00
Anacaena lutescens	6	4	monophyletic		0.61		15.30	match	match	match	match	451.28	247.79
Anaglyptus mysticus	2	1	monophyletic		0.00		16.19	match	match	match	match	0	N/A
Anaspis arctica	6	3	monophyletic		0.46		14.16	match	match	match	match	254.58	123.40
Anaspis bohemica	2	2	monophyletic		4.91	4.91	15.58	match	split	split	split	0	N/A
Anaspis brunnipes	1	1	monophyletic		N/A		15.50	match	match	match	match	0	N/A
Anaspis flava	3	1	monophyletic		0.00		13.11	match	match	match	match	16.58	14.36
Anaspis frontalis	4	4	monophyletic		0.76		14.59	match	match	match	match	721.06	398.31
Anaspis rufilabris	6	4	monophyletic		0.77		13.11	match	match	match	match	490.28	447.54
Anaspis thoracica	3	1	monophyletic		0.00		14.16	match	match	match	match	168.33	74.77
Anatis ocellata	3	2	monophyletic		1.07		12.24	match	match	match	match	484.95	86.69
Anaulacaspis nigra	3	1	monophyletic		0.00		13.30	match	match	match	match	170.43	147.59
Anchomenus dorsalis	3	2	monophyletic		0.15		6.44	match	match	match	match	297.43	120.47
Anidorus nigrinus	2	1	monophyletic		0.00		15.76	match	match	match	match	0	N/A
Anisodactylus binotatus	3	2	monophyletic		0.16		6.67	match	match	match	match	311.51	123.25
Anisosticta novemdecimpunctata	7	6	monophyletic		1.54	0.92	13.45	match	match	match	match	488.99	293.08
Anisotoma axillaris	3	2	monophyletic		0.61		4.10	match	match	match	match	62.09	27.10
Anisotoma castanea	1	1	monophyletic		N/A		11.51	match	match	match	match	0	N/A
Anisotoma glabra	4	2	monophyletic		0.15		11.51	match	match	match	match	300.77	125.94
Anisotoma humeralis	3	3	monophyletic		0.46		4.10	match	match	match	match	590.56	498.22
Anisotoma orbicularis	1	1	monophyletic		N/A		12.56	match	match	match	match	0	N/A
Anobium punctatum	1	1	monophyletic		N/A		19.13	match	match	match	match	0	N/A
Anobium rufipes	1	1	monophyletic		N/A		18.97	match	match	match	match	0	N/A
Anomala dubia	6	3	monophyletic		0.32		15.46	match	match	match	match	284.73	145.78
Anomognathus cuspidatus	2	2	monophyletic		10.43	10.43	12.08	split	split	split	split	0	N/A
Anoplodera maculicornis	3	1	monophyletic		0.00		13.63	match	match	match	match	425.26	259.48
Anoplodera reyi	5	3	monophyletic		0.32		11.69	match	match	match	match	397.78	240.56
Anoplodera rubra	3	2	monophyletic		2.97	2.97	11.69	match	split	match	split	249.38	118.21
Anoplodera sanguinolenta	6	6	monophyletic		0.77		12.62	match	match	match	match	258.12	169.36
Anoplodera sexguttata	1	1	monophyletic		N/A		15.67	match	match	match	match	0	N/A
Anoplus plantaris	3	1	monophyletic		0.00		17.93	match	match	match	match	20.16	17.46
Anostirus castaneus	2	2	monophyletic		0.30		16.62	match	match	match	match	0	N/A
Anotylus clavatus	1	1	monophyletic		N/A		16.07	match	match	match	match	0	N/A
Anotylus insecatus	1	1	monophyletic		N/A		11.81	match	match	match	match	0	N/A
