Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome	Average distance between samplings (km)	Stdev of distances between samplings (km)
Halyzia sedecimguttata	8	5	monophyletic		7.83	4.43	11.67	split	split	split	split	208.60	127.44
Harminius undulatus	2	2	monophyletic		0.92		15.51	match	match	match	match	0	N/A
Harpalus affinis	5	1	monophyletic		0.00		1.23	merge	match	merge	merge	432.05	210.41
Harpalus distinguendus	1	1	monophyletic		N/A		1.23	merge	match	merge	merge	0	N/A
Harpalus laevipes	5	5	monophyletic		1.23		3.76	match	match	match	match	473.23	253.34
Harpalus latus	4	2	monophyletic		0.15		2.81	match	match	match	match	471.77	241.09
Harpalus luteicornis	1	1	monophyletic		N/A		4.07	match	match	match	match	0	N/A
Harpalus nigritarsis	1	1	monophyletic		N/A		1.85	match	match	merge	match	0	N/A
Harpalus rubripes	6	1	monophyletic		0.00		3.75	match	match	match	match	151.08	116.06
Harpalus rufipes	4	1	monophyletic		0.00		6.34	match	match	match	match	256.84	116.78
Harpalus smaragdinus	1	1	monophyletic		N/A		2.74	match	match	match	match	0	N/A
Harpalus solitaris	4	2	monophyletic		0.16		1.85	match	match	merge	match	235.15	158.15
Harpalus subcylindricus	1	1	monophyletic		N/A		2.32	merge	match	match	match	0	N/A
Harpalus tardus	5	4	monophyletic		0.48		3.28	match	match	match	match	141.15	92.49
Harpalus xanthopus	1	1	monophyletic		N/A		3.10	match	match	match	match	0	N/A
Hedobia imperialis	1	1	monophyletic		N/A		18.25	match	match	match	match	0	N/A
Helochares obscurus	2	2	monophyletic		1.30		14.47	match	match	match	match	0	N/A
Helophorus brevipalpis	7	2	monophyletic		1.70	1.70	12.08	split	split	match	match	214.75	170.49
Helophorus glacialis	1	1	monophyletic		N/A		13.08	match	match	match	match	0	N/A
Helophorus granularis	2	2	monophyletic		0.46		12.11	match	match	match	match	0	N/A
Helophorus lapponicus	1	1	monophyletic		N/A		12.49	match	match	match	match	0	N/A
Helophorus nanus	1	1	monophyletic		N/A		12.21	match	match	match	match	0	N/A
Helophorus nubilus	1	1	monophyletic		N/A		12.08	match	match	match	match	0	N/A
Helophorus pumilio	1	1	monophyletic		N/A		14.10	match	match	match	match	0	N/A
Helophorus strandi	1	1	monophyletic		N/A		12.21	match	match	match	match	0	N/A
Hemicrepidius niger	1	1	monophyletic		N/A		17.08	match	match	match	match	0	N/A
Heterocerus fenestratus	1	1	monophyletic		N/A		12.61	match	match	match	match	0	N/A
Heterocerus hispidulus	1	1	monophyletic		N/A		16.93	match	match	match	match	0	N/A
Heterothops quadripunctulus	1	1	monophyletic		N/A		17.06	match	match	match	match	0	N/A
Hippodamia septemmaculata	2	2	paraphyletic	Hippodamia tredecimpunctata	1.08		0.00	merge	merge	merge	merge	0	N/A
Hippodamia tredecimpunctata	5	4	monophyletic		0.46		0.00	merge	merge	merge	merge	130.97	85.89
Hippodamia variegata	3	3	monophyletic		0.77		14.75	match	match	match	match	332.74	95.19
Hippuriphila modeeri	1	1	monophyletic		N/A		15.74	match	match	match	match	0	N/A
Holobus apicatus	1	1	monophyletic		N/A		15.88	match	match	match	match	0	N/A
Holobus flavicornis	1	1	monophyletic		N/A		16.25	match	match	match	match	0	N/A
Hololepta plana	1	1	monophyletic		N/A		18.60	match	match	match	match	0	N/A
Homalota plana	1	1	monophyletic		N/A		13.09	match	match	match	match	0	N/A
Hoshihananomia perlata	2	2	monophyletic		0.48		23.08	match	match	match	match	0	N/A
Hydaticus aruspex	2	2	monophyletic		5.76	5.76	5.53	split	split	split	split	0	N/A
Hydaticus seminiger	1	1	monophyletic		N/A		5.53	match	match	match	match	0	N/A
Hydaticus transversalis	1	1	monophyletic		N/A		8.64	match	match	match	match	0	N/A
Hydnobius septentrionalis	1	1	monophyletic		N/A		16.92	match	match	match	match	0	N/A
Hydnobius spinipes	4	3	monophyletic		0.61		19.36	match	match	match	match	212.61	144.31
Hydraena britteni	4	4	monophyletic		8.95	8.59	13.66	split	split	split	split	425.23	217.49
Hydraena gracilis	1	1	monophyletic		N/A		13.66	match	match	match	match	0	N/A
Hydrobius fuscipes	12	8	monophyletic		7.58	[includes three species]	14.73	split	split	split	split	484.13	286.00
Hydrochus brevis	5	2	monophyletic		0.16		12.05	match	match	match	match	301.89	251.59
Hydrochus megaphallus	1	1	monophyletic		N/A		12.05	match	match	match	match	0	N/A
Hydroglyphus geminus	4	2	monophyletic		0.15		13.49	match	match	match	match	53.37	41.34
Hydrophilus aterrimus	5	2	monophyletic		0.48		17.72	match	match	match	match	0.00	0.00
Hydroporus angustatus	6	5	monophyletic		0.61		9.96	match	match	match	match	251.59	252.28
Hydroporus erythrocephalus	5	5	monophyletic		1.24		7.91	match	match	match	match	612.20	448.04
Hydroporus fuscipennis	1	1	monophyletic		N/A		9.73	match	match	match	match	0	N/A
Hydroporus geniculatus	7	3	monophyletic		2.81	2.50	7.87	split	match	match	split	136.50	111.41
Hydroporus gyllenhalii	1	1	monophyletic		N/A		6.11	match	match	match	match	0	N/A
Hydroporus incognitus	2	2	monophyletic		0.92		5.64	match	match	match	match	0	N/A
Hydroporus memnonius	4	2	monophyletic		3.46	3.46	10.26	split	split	match	split	613.95	458.36
Hydroporus morio	3	3	monophyletic		2.81	2.65	7.52	split	match	split	split	607.90	526.46
Hydroporus neglectus	1	1	monophyletic		N/A		9.96	match	match	match	match	0	N/A
Hydroporus nigrita	2	2	monophyletic		0.46		7.02	match	match	match	match	0	N/A
Hydroporus notabilis	3	3	monophyletic		2.96	2.80	8.37	split	split	match	split	27.64	23.93
Hydroporus obscurus	2	2	monophyletic		0.30		7.52	match	match	match	match	0	N/A
Hydroporus palustris	6	4	monophyletic		1.70	0.76	7.63	match	match	match	match	533.46	388.90
Hydroporus planus	2	2	monophyletic		1.54	1.54	9.05	match	match	match	split	0	N/A
Hydroporus pubescens	3	3	monophyletic		0.46		7.02	match	match	match	match	28.44	24.63
Hydroporus rufifrons	3	2	monophyletic		0.15		7.68	match	match	match	match	226.64	81.81
Hydroporus striola	1	1	monophyletic		N/A		5.64	match	match	match	match	0	N/A
Hydroporus submuticus	2	1	monophyletic		0.00		7.87	match	match	match	match	0	N/A
Hydroporus tristis	6	3	monophyletic		0.30		6.11	match	match	match	match	440.15	447.99
Hydroporus umbrosus	3	3	monophyletic		0.46		10.28	match	match	match	match	668.12	329.76
Hydrosmecta longula	1	1	monophyletic		N/A		11.65	match	match	match	match	0	N/A
Hydrothassa hannoveriana	5	1	monophyletic		0.00		6.41	match	match	match	match	211.35	272.85
Hydrothassa marginella	4	1	monophyletic		0.00		6.41	match	match	match	match	276.18	286.63
Hygronoma dimidiata	3	2	monophyletic		0.15		13.27	match	match	match	match	592.85	511.57
Hygropora cunctans	1	1	monophyletic		N/A		9.39	match	match	match	match	0	N/A
Hygrotus decoratus	1	1	monophyletic		N/A		11.65	match	match	match	match	0	N/A
Hygrotus impressopunctatus	2	2	monophyletic		1.61	1.61	13.07	match	match	match	split	0	N/A
Hygrotus inaequalis	4	3	monophyletic		0.46		14.33	match	match	match	match	307.82	312.82
Hygrotus marklini	5	4	monophyletic		0.76		9.70	match	match	match	match	0.00	0.00
Hygrotus novemlineatus	7	3	monophyletic		0.32		9.70	match	match	match	match	159.90	171.84
Hygrotus quinquelineatus	4	3	monophyletic		2.97	2.81	15.27	split	split	match	split	129.79	142.18
Hylastes brunneus	1	1	monophyletic		N/A		16.19	match	match	match	match	0	N/A
Hylastes cunicularius	2	2	monophyletic		0.30		16.19	match	match	match	match	0	N/A
Hylastes opacus	4	2	monophyletic		0.15		18.84	match	match	match	match	357.07	216.60
Hylecoetus dermestoides	3	2	monophyletic		0.15		18.62	match	match	match	match	521.57	252.58
Hylesinus crenatus	6	4	monophyletic		0.92		18.27	match	match	match	match	171.40	144.86
Hylobius abietis	5	4	monophyletic		0.30		15.92	match	match	match	match	358.48	204.16
Hylobius piceus	3	2	monophyletic		1.75	1.52	15.92	match	split	match	match	470.64	214.47
Hylotrupes bajulus	1	1	monophyletic		N/A		17.30	match	match	match	match	0	N/A
Hylurgops glabratus	2	2	monophyletic		0.16		18.57	match	match	match	match	0	N/A
Hylurgops palliatus	2	2	monophyletic		0.15		18.72	match	match	match	match	0	N/A
Hypera arator	4	4	monophyletic		10.98	10.61	11.54	split	split	split	split	168.65	122.40
Hypera dauci	1	1	monophyletic		N/A		14.39	match	match	match	match	0	N/A
Hypera denominanda	1	1	monophyletic		N/A		5.73	match	match	match	match	0	N/A
Hypera fornicata	1	1	monophyletic		N/A		2.81	match	match	merge	merge	0	N/A
Hypera meles	2	2	monophyletic		1.54	1.54	2.81	split	match	merge	merge	0	N/A
Hypera nigrirostris	5	3	monophyletic		1.94	1.61	5.29	split	split	match	match	177.49	125.88
Hypera plantaginis	1	1	monophyletic		N/A		13.35	match	match	match	match	0	N/A
Hypera pollux	2	2	monophyletic		0.30		9.22	match	match	match	match	0	N/A
Hypera postica	4	2	monophyletic		0.15		5.73	match	match	match	match	274.14	300.30
Hypera rumicis	4	1	monophyletic		0.16		12.23	match	match	match	match	134.42	82.25
Hypera suspiciosa	6	4	monophyletic		5.75	4.77	9.10	match	split	split	split	476.16	246.19
Hypera venusta	1	1	monophyletic		N/A		6.00	match	match	match	match	0	N/A
Hypera viciae	4	1	monophyletic		0.00		9.74	match	match	match	match	48.62	36.94
Hypera zoilus	1	1	monophyletic		N/A		13.32	match	match	match	match	0	N/A
Hyphydrus ovatus	3	3	monophyletic		1.54	1.54	12.57	match	match	match	split	311.73	105.18
Hypnoidus riparius	6	1	monophyletic		0.00		13.16	match	match	match	match	352.80	244.03
Hypnoidus rivularius	4	4	monophyletic		2.00	1.69	13.16	match	match	match	match	314.97	223.84
Hypocaccus rugifrons	5	2	monophyletic		0.16		17.19	match	match	match	match	81.64	105.30
Ilybius aenescens	3	2	monophyletic		0.15		8.77	match	match	match	match	452.81	392.14
Ilybius angustior	1	1	monophyletic		N/A		0.15	merge	merge	merge	merge	0	N/A
Ilybius ater	6	2	monophyletic		0.16		10.15	match	match	match	match	265.20	165.81
Ilybius chalconatus	7	2	monophyletic		0.30		11.51	match	match	match	match	36.70	28.15
Ilybius crassus	3	3	monophyletic		1.70	1.54	10.15	match	match	match	split	165.07	142.95
Ilybius erichsoni	1	1	monophyletic		N/A		6.41	match	match	match	match	0	N/A
Ilybius fenestratus	3	2	monophyletic		0.46		8.77	match	match	match	match	556.95	482.33
Ilybius fuliginosus	4	3	monophyletic		0.32		9.04	match	match	match	match	552.65	266.57
Ilybius guttiger	3	1	monophyletic		0.00		1.63	match	merge	match	merge	555.17	316.89
Ilybius picipes	1	1	monophyletic		N/A		0.16	merge	merge	merge	merge	0	N/A
Ilybius quadriguttatus	3	2	monophyletic		0.30		1.63	match	merge	match	merge	178.62	130.11
Ilybius subtilis	2	2	monophyletic		0.30		6.41	match	match	match	match	0	N/A
Ilybius wasastjernai	2	2	monophyletic		0.61		12.44	match	match	match	match	0	N/A
Ilybius vittiger	1	1	monophyletic		N/A		11.61	match	match	match	match	0	N/A
Ipidia binotata	3	2	monophyletic		0.15		16.79	match	match	match	match	460.41	192.83
Ischnoglossa obscura	2	2	monophyletic		0.15		12.72	match	match	match	match	0	N/A
Ischnopoda leucopus	3	1	monophyletic		0.00		12.33	match	match	match	match	0.00	0.00
Ischnosoma longicorne	3	2	monophyletic		1.07		13.85	match	match	match	match	175.90	72.73
Ischnosoma splendidum	5	3	monophyletic		0.30		13.85	match	match	match	match	448.48	246.68
Isomira murina	3	1	monophyletic		0.00		16.89	match	match	match	match	278.26	240.98
Judolia sexmaculata	5	5	monophyletic		1.54	0.92	17.07	match	match	match	match	323.41	196.88
Kateretes pedicularius	1	1	monophyletic		N/A		11.58	match	match	match	match	0	N/A
Kateretes pusillus	5	4	monophyletic		10.72	9.67	11.58	split	split	split	split	279.93	224.61
Labidostomis tridentata	4	2	monophyletic		0.98		21.29	match	match	match	match	38.65	42.34
Laccobius decorus	2	2	monophyletic		0.30		14.43	match	match	match	match	0	N/A
Laccobius minutus	6	4	monophyletic		1.07		12.56	match	match	match	match	496.86	279.79
Laccobius sinuatus	1	1	monophyletic		N/A		5.89	match	match	match	match	0	N/A
Laccobius striatulus	2	2	monophyletic		0.46		5.89	match	match	match	match	0	N/A
Laccophilus hyalinus	2	1	monophyletic		0.00		14.81	match	match	match	match	0	N/A
Laccophilus minutus	2	1	monophyletic		0.00		11.32	match	match	match	match	0	N/A
Lacon conspersus	5	2	monophyletic		0.30		8.24	match	match	match	match	275.01	106.50
Lacon fasciatus	3	2	monophyletic		1.43	1.39	8.24	match	split	match	match	292.14	169.78
Lagria hirta	6	5	monophyletic		0.77		15.12	match	match	match	match	418.42	203.57
Lamia textor	4	4	monophyletic		1.38		15.73	match	match	match	match	0	N/A
Lampyris noctiluca	5	3	monophyletic		7.41	7.20	18.58	split	split	split	split	443.23	278.95
Larinus sturnus	2	2	monophyletic		0.15		15.51	match	match	match	match	0	N/A
Lathrobium brunnipes	4	2	monophyletic		0.15		12.57	match	match	match	match	448.44	209.02
Lathrobium elongatum	2	2	monophyletic		0.18		3.78	merge	match	match	match	0	N/A
Lathrobium fulvipenne	3	2	monophyletic		0.15		11.66	match	match	match	match	518.55	226.19
Lathrobium geminum	5	4	monophyletic		2.64	2.48	6.81	split	split	match	split	219.80	280.88
Lathrobium impressum	3	3	monophyletic		1.38		6.97	match	match	match	match	469.84	291.16
Lathrobium longulum	3	3	monophyletic		0.76		12.16	match	match	match	match	171.41	78.01
Lathrobium rufipenne	1	1	monophyletic		N/A		3.78	merge	match	match	match	0	N/A
Latridius consimilis	2	2	monophyletic		4.75	4.75	17.04	match	split	split	split	0	N/A
Latridius gemellatus	1	1	monophyletic		N/A		16.78	match	match	match	match	0	N/A
Lebia chlorocephala	1	1	monophyletic		N/A		10.27	match	match	match	match	0	N/A
Lebia cruxminor	2	2	monophyletic		0.61		10.27	match	match	match	match	0	N/A
Leiodes calcarata	1	1	monophyletic		N/A		14.68	match	match	match	match	0	N/A
Leiodes ferruginea	2	2	monophyletic		0.77		16.14	match	match	match	match	0	N/A
Leiodes fracta	1	1	monophyletic		N/A		15.94	match	match	match	match	0	N/A
Leiodes inordinata	1	1	monophyletic		N/A		17.88	match	match	match	match	0	N/A
Leiodes obesa	6	4	monophyletic		2.05	1.44	14.17	match	match	match	match	602.98	330.36
Leiodes picea	3	3	monophyletic		0.48		14.17	match	match	match	match	3.70	3.21
Leiodes ruficollis	1	1	monophyletic		N/A		17.59	match	match	match	match	0	N/A
Leiodes silesiaca	2	2	monophyletic		0.30		14.99	match	match	match	match	0	N/A
Leiodes triepkii	3	1	monophyletic		0.00		17.02	match	match	match	match	194.51	168.45
Leiopus linnei	2	1	monophyletic		0.00		12.75	match	match	match	match	0	N/A
Leiopus nebulosus	4	2	monophyletic		0.15		12.75	match	match	match	match	52.76	57.39
Leistus ferrugineus	3	1	monophyletic		0.00		5.98	match	match	match	match	254.47	78.24
Leistus terminatus	1	1	monophyletic		N/A		5.98	match	match	match	match	0	N/A
Leptacinus formicetorum	2	1	paraphyletic	Leptacinus intermedius	0.00		0.00	merge	merge	merge	merge	0	N/A
Leptacinus intermedius	3	2	monophyletic		0.15		0.00	merge	merge	merge	merge	268.34	232.39
Leptura maculata	2	2	monophyletic		0.32		13.77	match	match	match	match	0	N/A
Leptura melanura	6	4	monophyletic		0.96		17.50	match	match	split	match	283.66	148.23
Leptura nigra	2	2	monophyletic		0.16		16.66	match	match	match	match	0	N/A
Leptura nigripes	1	1	monophyletic		N/A		16.43	match	match	match	match	0	N/A
Leptura quadrifasciata	7	3	monophyletic		0.48		14.51	match	match	match	match	336.68	173.88
Lepturobosca virens	3	3	monophyletic		0.46		17.42	match	match	match	match	158.04	136.87
Leptusa fumida	1	1	monophyletic		N/A		13.63	match	match	match	match	0	N/A
Lesteva monticola	2	1	monophyletic		0.00		14.65	match	match	match	match	0	N/A
Licinus depressus	2	1	monophyletic		0.00		10.68	match	match	match	match	0	N/A
Lilioceris lilii	4	1	monophyletic		0.00		16.44	match	match	match	match	98.70	56.99
Lilioceris merdigera	6	5	monophyletic		1.62	1.39	16.44	match	match	match	match	460.27	252.81
Limnius volckmari	1	1	monophyletic		N/A		19.03	match	match	match	match	0	N/A
Limnobaris pilistriata	4	4	monophyletic		0.92		11.29	match	match	match	match	448.81	194.48
Limnobaris t-album	4	2	monophyletic		2.49	2.49	11.29	match	split	match	match	119.71	131.14
Limonius minutus	3	3	monophyletic		0.30		15.85	match	match	match	match	235.53	203.98
Liogluta alpestris	2	1	monophyletic		0.00		6.66	match	match	match	match	0	N/A
Liogluta granigera	2	1	monophyletic		0.00		6.66	match	match	match	match	0	N/A
Liogluta micans	4	3	monophyletic		0.30		6.72	match	match	match	match	307.99	195.51
Liotrichus affinis	2	1	monophyletic		0.00		17.86	match	match	match	match	0	N/A
Litargus connexus	4	2	monophyletic		1.07		13.82	match	match	match	match	438.78	182.49
Lithocharis nigriceps	4	3	monophyletic		0.92		13.63	match	match	match	match	282.90	208.18
Lixus iridis	3	1	monophyletic		0.16		20.41	match	match	match	match	238.26	206.34
Lochmaea caprea	4	2	paraphyletic	Lochmaea suturalis	0.46		0.00	merge	merge	merge	merge	207.87	227.71
Lochmaea suturalis	2	2	paraphyletic	Lochmaea caprea	0.32		0.00	merge	merge	merge	merge	0	N/A
Lomechusoides wellenii	2	2	monophyletic		0.31		12.42	match	match	match	match	0	N/A
Longitarsus brunneus	4	2	monophyletic		0.15		12.63	match	match	match	match	442.40	342.69
Longitarsus exsoletus	2	2	monophyletic		0.30		13.17	match	match	match	match	0	N/A
Longitarsus holsaticus	1	1	monophyletic		N/A		10.75	match	match	match	match	0	N/A
Longitarsus lewisii	3	3	monophyletic		0.15		11.70	match	match	match	match	2.00	1.73
Longitarsus longiseta	3	2	monophyletic		0.33		15.06	match	match	match	match	205.04	154.55
Longitarsus luridus	5	3	monophyletic		0.30		10.66	match	match	match	match	262.95	199.36
Longitarsus melanocephalus	6	1	monophyletic		0.19		0.00	merge	merge	merge	merge	96.66	60.97
Longitarsus nigerrimus	2	2	monophyletic		0.15		13.72	match	match	match	match	0	N/A
Longitarsus parvulus	1	1	monophyletic		N/A		11.43	match	match	match	match	0	N/A
Longitarsus reichei	1	1	monophyletic		N/A		0.00	merge	merge	merge	merge	0	N/A
Longitarsus rubiginosus	1	1	monophyletic		N/A		12.06	match	match	match	match	0	N/A
Longitarsus succineus	3	1	monophyletic		0.00		10.66	match	match	match	match	117.28	26.61
Longitarsus tabidus	1	1	monophyletic		N/A		11.43	match	match	match	match	0	N/A
Lordithon bimaculatus	2	1	monophyletic		0.00		14.02	match	match	match	match		
Lordithon lunulatus	4	4	monophyletic		0.77		14.31	match	match	match	match	367.37	224.71
Lordithon thoracicus	4	3	monophyletic		0.30		14.04	match	match	match	match	564.71	431.98
Loricera pilicornis	3	2	monophyletic		0.30		13.45	match	match	match	match	447.99	228.08
Luperus flavipes	3	2	monophyletic		0.16		18.04	match	match	match	match	244.45	119.25
Lygistopterus sanguineus	4	2	monophyletic		0.15		17.61	match	match	match	match	264.87	202.70
Lypoglossa lateralis	5	2	monophyletic		0.30		11.65	match	match	match	match	248.65	136.46
Lyprocorrhe anceps	2	1	monophyletic		0.00		15.49	match	match	match	match	0	N/A
Lythraria salicariae	5	3	monophyletic		0.32		15.92	match	match	match	match	364.74	188.25
Lytta vesicatoria	1	1	monophyletic		N/A		18.91	match	match	match	match	0	N/A
Macroplea appendiculata	2	2	monophyletic		0.15		5.49	merge	match	match	match	0	N/A
Macroplea mutica	1	1	monophyletic		N/A		5.49	merge	match	match	match	0	N/A
Magdalis carbonaria	5	4	monophyletic		0.32		14.65	match	match	match	match	60.27	51.87
Magdalis cerasi	1	1	monophyletic		N/A		14.29	match	match	match	match	0	N/A
Magdalis duplicata	2	2	monophyletic		0.15		4.77	merge	match	match	match	0	N/A
Magdalis frontalis	1	1	monophyletic		N/A		4.77	merge	match	match	match	0	N/A
Magdalis ruficornis	1	1	monophyletic		N/A		14.05	match	match	match	match	0	N/A
Malachius bipustulatus	1	1	monophyletic		N/A		12.11	match	match	match	match	0	N/A
Malthinus biguttatus	2	2	monophyletic		0.48		14.87	match	match	match	match	0	N/A
Malthinus facialis	2	1	monophyletic		0.00		15.55	match	match	match	match	0	N/A
Malthinus flaveolus	2	2	monophyletic		0.15		15.01	match	match	match	match	0	N/A
Malthinus frontalis	1	1	monophyletic		N/A		14.56	match	match	match	match	0	N/A
Malthodes brevicollis	4	2	monophyletic		0.15		15.96	match	match	match	match	545.55	579.64
Malthodes fibulatus	1	1	monophyletic		N/A		12.16	match	match	match	match	0	N/A
Malthodes flavoguttatus	1	1	monophyletic		N/A		17.18	match	match	match	match	0	N/A
Malthodes fuscus	4	2	monophyletic		1.08		17.41	match	match	match	match	601.48	372.52
Malthodes guttifer	3	1	monophyletic		0.00		13.19	match	match	match	match	176.00	152.42
Malthodes marginatus	1	1	monophyletic		N/A		14.96	match	match	match	match	0	N/A
Malthodes minimus	2	2	monophyletic		0.15		16.50	match	match	match	match	0	N/A
Malthodes misellus	6	2	monophyletic		0.16		12.16	match	match	match	match	191.75	121.33
Malthodes mysticus	1	1	monophyletic		N/A		13.19	match	match	match	match	0	N/A
Malthodes pumilus	2	2	monophyletic		0.30		9.35	match	match	match	match	0	N/A
Malthodes spathifer	2	2	monophyletic		0.15		9.35	match	match	match	match	0	N/A
Mannerheimia arctica	3	3	monophyletic		0.30		15.37	match	match	match	match	77.80	67.38
Mantura chrysanthemi	1	1	monophyletic		N/A		13.20	match	match	match	match	0	N/A
Margarinotus striola	2	1	monophyletic		0.00		20.59	match	match	match	match	0	N/A
Mecinus pascuorum	5	2	monophyletic		0.30		20.20	match	match	match	match	315.59	197.90
Megarthrus denticollis	2	1	monophyletic		0.00		15.90	match	match	match	match	0	N/A
Megarthrus depressus	4	2	monophyletic		0.17		13.36	match	match	match	match	372.84	270.26
Megarthrus nitidulus	2	2	monophyletic		0.15		12.09	match	match	match	match	0	N/A
Megarthrus prosseni	2	2	monophyletic		0.64		12.09	match	match	match	match	0	N/A
Megasternum concinnum	4	4	monophyletic		11.02	10.84	13.20	split	split	split	split	381.85	228.69
Melandrya dubia	2	2	monophyletic		0.15		14.92	match	match	match	match	0	N/A
Melanimon tibialis	5	4	monophyletic		2.96	2.58	14.45	match	split	split	split	166.94	143.68
Melanophila acuminata	3	3	monophyletic		2.33	2.01	15.70	match	match	match	match	289.12	246.96
Melanophthalma transversalis	2	2	monophyletic		0.15		13.32	match	match	match	match	0	N/A
Melanotus castanipes	4	2	monophyletic		0.30		8.75	match	match	match	match	636.09	387.35
Melanotus villosus	1	1	monophyletic		N/A		8.75	match	match	match	match	0	N/A
Melasis buprestoides	2	1	monophyletic		0.00		20.59	match	match	match	match	0	N/A
Meligethes aeneus	12	7	monophyletic		2.33	1.45	12.81	match	split	match	match	338.96	243.52
Meligethes carinulatus	6	3	monophyletic		0.67		15.50	match	match	match	match	207.66	139.73
Meligethes denticulatus	2	2	monophyletic		2.32	2.32	13.12	match	match	split	match	0	N/A
Meligethes difficilis	7	4	monophyletic		3.45	3.28	12.41	split	split	split	split	209.96	130.10
Meligethes exilis	2	2	monophyletic		0.15		10.06	match	match	match	match	0	N/A
Meligethes haemorrhoidalis	1	1	monophyletic		N/A		15.87	match	match	match	match	0	N/A
Meligethes lugubris	3	3	monophyletic		0.34		10.06	match	match	match	match	528.04	383.24
Meligethes matronalis	4	1	monophyletic		0.00		10.53	match	match	match	match	74.64	81.76
Meligethes morosus	2	1	monophyletic		0.00		13.41	match	match	match	match	0	N/A
Meligethes ochropus	3	2	monophyletic		0.15		12.41	match	match	match	match	111.33	96.42
Meligethes ovatus	2	1	monophyletic		0.00		13.41	match	match	match	match	0	N/A
Meligethes ruficornis	3	1	monophyletic		0.00		14.24	match	match	match	match	0.00	0.00
Meligethes sp.	1	1	monophyletic		N/A		15.03	match	match	match	match	0	N/A
Meligethes subaeneus	3	1	monophyletic		0.00		10.53	match	match	match	match	0.00	0.00
Meligethes subrugosus	1	1	monophyletic		N/A		15.12	match	match	match	match	0	N/A
Meligethes tristis	2	1	monophyletic		0.00		17.62	match	match	match	match	0	N/A
Meloe violaceus	2	2	monophyletic		0.46		19.65	match	match	match	match	0	N/A
Melolontha hippocastani	5	3	monophyletic		0.46		18.74	match	match	match	match	246.99	130.55
Meotica exilis	1	1	monophyletic		N/A		8.57	match	match	match	match	0	N/A
Meotica pallens	2	1	monophyletic		0.00		8.57	match	match	match	match	0	N/A
Mesosa myops	2	1	monophyletic		0.00		17.40	match	match	match	match	0	N/A
Metoecus paradoxus	3	3	monophyletic		1.07		15.68	match	match	match	match	140.13	121.35
Miarus campanulae	3	3	monophyletic		0.32		16.41	match	match	match	match	0	N/A
Micrambe abietis	1	1	monophyletic		N/A		17.81	match	match	match	match	0	N/A
Micrambe bimaculata	1	1	monophyletic		N/A		16.84	match	match	match	match	0	N/A
Microcara testacea	8	6	monophyletic		0.46		14.76	match	match	match	match	278.41	202.65
Microlestes minutulus	4	4	monophyletic		0.61		8.58	match	match	match	match	356.01	209.49
Migneauxia lederi	3	2	monophyletic		0.76		11.48	match	match	match	match	0.00	0.00
Miscodera arctica	1	1	monophyletic		N/A		12.91	match	match	match	match	0	N/A
Mniusa incrassata	1	1	monophyletic		N/A		11.30	match	match	match	match	0	N/A
Molorchus minor	5	1	monophyletic		0.00		20.41	match	match	match	match	394.27	227.19
Monochamus galloprovincialis	3	2	monophyletic		0.35		2.23	merge	match	match	match	0	N/A
Monochamus sutor	6	5	monophyletic		1.62	1.12	2.76	merge	match	match	match	372.52	312.70
Monochamus urussovii	3	3	monophyletic		0.30		2.23	merge	match	split	match	487.98	327.83
Monotoma angusticollis	2	2	monophyletic		0.30		16.35	match	match	match	match	0	N/A
Monotoma bicolor	1	1	monophyletic		N/A		14.78	match	match	match	match	0	N/A
Monotoma picipes	1	1	monophyletic		N/A		14.80	match	match	match	match	0	N/A
Mordella aculeata	2	1	monophyletic		0.00		22.88	match	match	match	match	0	N/A
Mordella holomelaena	2	1	monophyletic		0.00		22.50	match	match	match	match	0	N/A
Mordellistena humeralis	1	1	monophyletic		N/A		24.08	match	match	match	match	0	N/A
Mordellistena sp.1	2	2	monophyletic		0.46		13.63	match	match	match	match		
Mordellistena sp.2	1	1	monophyletic		N/A		18.77	match	match	match	match		
Mordellistena sp.3	1	1	monophyletic		N/A		11.60	match	match	match	match		
Mordellistena sp.4	1	1	monophyletic		N/A		11.60	match	match	match	match		
Mordellochroa abdominalis	4	1	monophyletic		0.00		17.23	match	match	match	match	245.75	143.17
Morychus aeneus	2	2	monophyletic		0.15		17.59	match	match	match	match	0	N/A
Mycetaea subterranea	2	1	monophyletic		0.00		14.25	match	match	match	match	0	N/A
Mycetochara axillaris	6	4	monophyletic		0.30		14.92	match	match	match	match	395.95	300.83
Mycetochara flavipes	2	2	monophyletic		0.15		16.66	match	match	match	match	0	N/A
Mycetophagus decempunctatus	2	2	monophyletic		0.46		14.57	match	match	match	match	0	N/A
Mycetophagus multipunctatus	1	1	monophyletic		N/A		12.99	match	match	match	match	0	N/A
Mycetophagus piceus	2	2	monophyletic		1.13		12.99	match	match	match	match	0	N/A
Mycetophagus populi	1	1	monophyletic		N/A		15.51	match	match	match	match	0	N/A
Mycetoporus altaicus	3	1	monophyletic		0.00		13.21	match	match	match	match	0.10	0.08
Mycetoporus boreellus	1	1	monophyletic		N/A		12.25	match	match	match	match	0	N/A
